$CASNumber$,$IngredientName$,$categoryCAS$,$syn_code$,$bgSource$,$prospectCAS$,$curatedCAS$,$recog_syn$,$prospect_CAS_fromIng$,$alt_CAS$,$bgCAS$,$first_date$,$change_date$,$change_comment$
$00000$,$ib-1$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000$,$kcl$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$7447-40-7$,$$,$7447-40-7$,$d:2021-10-07$,$$,$$
$00000$,$ne-3$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000$,$plexbor 97$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000$,$quaternary ammonium salt$,$ambiguousID$,$close_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000-00-0$,$*proprietary$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$00000-00-0$,$anionic polymer$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000-00-0$,$anionic polymer (*propriety)$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$00000-00-0$,$contains no hazardous substances in concentrations above cut-off values according to the competent authority$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000-00-0$,$contains non-hazardous ingredents which are listed in in the non-msds section of the report$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000-00-0$,$enzyme (proprietary)$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$00000-00-0$,$organo phophorous salt$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000-00-0$,$organophilic clay$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$00000-00-0$,$quaternary ammonium compound (*proprietary)$,$ambiguousID$,$proprietary$,$neither$,$$,$ambiguous$,$$,$proprietary$,$unk$,$proprietary$,$d:2021-10-07$,$$,$$
$00000-00-0$,$walnut hulls$,$ambiguousID$,$perfect$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$000000$,$g-50$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0000050-00-0$,$formaldehyde$,$cleaned$,$perfect$,$both$,$50-00-0$,$50-00-0$,$$,$50-00-0$,$$,$50-00-0$,$d:2021-10-07$,$$,$$
$0000050-00-0$,$formaldeyde$,$cleaned$,$close_match$,$both$,$50-00-0$,$50-00-0$,$$,$50-00-0$,$$,$50-00-0$,$d:2021-10-07$,$$,$$
$0000050-00-0$,$fromaldehyde$,$cleaned$,$no_match$,$CAS_only$,$50-00-0$,$50-00-0$,$$,$non_spec$,$unk$,$50-00-0$,$d:2021-10-07$,$$,$$
$0000050-00-0$,$thiourea$,$cleaned$,$perfect$,$conflict$,$50-00-0$,$50-00-0$,$$,$62-56-6$,$$,$conflictingID$,$d:2021-10-07$,$$,$$
$0000062-56-6$,$thiorea$,$cleaned$,$no_match$,$CAS_only$,$62-56-6$,$62-56-6$,$$,$non_spec$,$unk$,$62-56-6$,$d:2021-10-07$,$$,$$
$0000062-56-6$,$thiourea$,$cleaned$,$perfect$,$both$,$62-56-6$,$62-56-6$,$$,$62-56-6$,$$,$62-56-6$,$d:2021-10-07$,$$,$$
$0000064-17-5$,$ethyl alcohol$,$cleaned$,$perfect$,$both$,$64-17-5$,$64-17-5$,$$,$64-17-5$,$['67-56-1']$,$64-17-5$,$d:2021-10-07$,$$,$$
$0000067-48-1$,$ethanainium, 2-hydroxy-n,n,n-trimethyl,-chloride$,$cleaned$,$close_match$,$both$,$67-48-1$,$67-48-1$,$$,$67-48-1$,$$,$67-48-1$,$d:2021-10-07$,$$,$$
$0000067-48-1$,$ethanainium,2-hydroxy-n,n,n-trimethyl,-chloride$,$cleaned$,$no_match$,$CAS_only$,$67-48-1$,$67-48-1$,$$,$non_spec$,$unk$,$67-48-1$,$d:2021-10-07$,$$,$$
$0000067-56-1$,$formaldehyde$,$cleaned$,$perfect$,$conflict$,$67-56-1$,$67-56-1$,$$,$50-00-0$,$$,$conflictingID$,$d:2021-10-07$,$$,$$
$0000067-56-1$,$methanol$,$cleaned$,$perfect$,$both$,$67-56-1$,$67-56-1$,$$,$67-56-1$,$$,$67-56-1$,$d:2021-10-07$,$$,$$
$0000067-56-1$,$methaol$,$cleaned$,$no_match$,$CAS_only$,$67-56-1$,$67-56-1$,$$,$non_spec$,$unk$,$67-56-1$,$d:2021-10-07$,$$,$$
$0000111-30-8$,$glutaraldehyde$,$cleaned$,$perfect$,$both$,$111-30-8$,$111-30-8$,$$,$111-30-8$,$$,$111-30-8$,$d:2021-10-07$,$$,$$
$0000111-76-2$,$ethylene glycol monobutyl ether$,$cleaned$,$perfect$,$both$,$111-76-2$,$111-76-2$,$$,$111-76-2$,$$,$111-76-2$,$d:2021-10-07$,$$,$$
$0000112-34-5$,$butyl diglycol$,$cleaned$,$perfect$,$both$,$112-34-5$,$112-34-5$,$$,$112-34-5$,$$,$112-34-5$,$d:2021-10-07$,$$,$$
$0000112-34-5$,$butyl digycol$,$cleaned$,$close_match$,$both$,$112-34-5$,$112-34-5$,$$,$112-34-5$,$$,$112-34-5$,$d:2021-10-07$,$$,$$
$000050-00-0$,$formaldehyde$,$cleaned$,$perfect$,$both$,$50-00-0$,$50-00-0$,$$,$50-00-0$,$$,$50-00-0$,$d:2021-10-07$,$$,$$
$000056-81-5$,$glycerine$,$cleaned$,$perfect$,$both$,$56-81-5$,$56-81-5$,$$,$56-81-5$,$$,$56-81-5$,$d:2021-10-07$,$$,$$
$000056-81-5$,$glycerol$,$cleaned$,$perfect$,$both$,$56-81-5$,$56-81-5$,$$,$56-81-5$,$$,$56-81-5$,$d:2021-10-07$,$$,$$
$000056-81-5$,$polyacrylamide (2-propenamide w/ propenoic acid and sodium propenoate$,$cleaned$,$no_match$,$CAS_only$,$56-81-5$,$56-81-5$,$$,$non_spec$,$unk$,$56-81-5$,$d:2021-10-07$,$$,$$
$000057-55-6$,$propane-1, 2-diol$,$cleaned$,$close_match$,$both$,$57-55-6$,$57-55-6$,$$,$57-55-6$,$$,$57-55-6$,$d:2021-10-07$,$$,$$
$000057-55-6$,$propylene glycol$,$cleaned$,$perfect$,$both$,$57-55-6$,$57-55-6$,$$,$57-55-6$,$$,$57-55-6$,$d:2021-10-07$,$$,$$
$000060-24-2$,$2-mercaptoethanol$,$cleaned$,$perfect$,$both$,$60-24-2$,$60-24-2$,$$,$60-24-2$,$$,$60-24-2$,$d:2021-10-07$,$$,$$
$000060-24-2$,$thioglycol$,$cleaned$,$perfect$,$both$,$60-24-2$,$60-24-2$,$$,$60-24-2$,$$,$60-24-2$,$d:2021-10-07$,$$,$$
$000064-02-8$,$tetrasodium ethylenediaminetetraacetate$,$cleaned$,$perfect$,$both$,$64-02-8$,$64-02-8$,$$,$64-02-8$,$$,$64-02-8$,$d:2021-10-07$,$$,$$
$000064-14-5$,$ethanol$,$corrected$,$perfect$,$both$,$$,$64-17-5$,$$,$64-17-5$,$$,$64-17-5$,$d:2021-10-07$,$$,$$
$000064-17-5$,$ethanol$,$cleaned$,$perfect$,$both$,$64-17-5$,$64-17-5$,$$,$64-17-5$,$$,$64-17-5$,$d:2021-10-07$,$$,$$
$000064-17-5$,$ethoxylated alcohol blend$,$cleaned$,$perfect$,$CAS_only$,$64-17-5$,$64-17-5$,$$,$non_spec$,$$,$64-17-5$,$d:2021-10-07$,$$,$$
$000064-18-6$,$formic acid$,$cleaned$,$perfect$,$both$,$64-18-6$,$64-18-6$,$$,$64-18-6$,$$,$64-18-6$,$d:2021-10-07$,$$,$$
$000064-19-7$,$acetic acid$,$cleaned$,$perfect$,$both$,$64-19-7$,$64-19-7$,$$,$64-19-7$,$$,$64-19-7$,$d:2021-10-07$,$$,$$
$000064-19-7$,$acetic iron control$,$cleaned$,$no_match$,$CAS_only$,$64-19-7$,$64-19-7$,$$,$non_spec$,$unk$,$64-19-7$,$d:2021-10-07$,$$,$$
$000065-85-0$,$benzoic acid$,$cleaned$,$perfect$,$both$,$65-85-0$,$65-85-0$,$$,$65-85-0$,$$,$65-85-0$,$d:2021-10-07$,$$,$$
$000067-30-0$,$propan-2-ol$,$corrected$,$perfect$,$both$,$$,$67-63-0$,$$,$67-63-0$,$$,$67-63-0$,$d:2021-10-07$,$$,$$
$000067-30-1$,$propan-2-ol$,$corrected$,$perfect$,$both$,$67-30-1$,$67-63-0$,$$,$67-63-0$,$$,$67-63-0$,$d:2021-10-07$,$$,$$
$000067-48-1$,$choline chloride$,$cleaned$,$perfect$,$both$,$67-48-1$,$67-48-1$,$$,$67-48-1$,$$,$67-48-1$,$d:2021-10-07$,$$,$$
$000067-48-1$,$cholinium chloride$,$cleaned$,$perfect$,$both$,$67-48-1$,$67-48-1$,$$,$67-48-1$,$$,$67-48-1$,$d:2021-10-07$,$$,$$
$000067-56-1$,$methanol$,$cleaned$,$perfect$,$both$,$67-56-1$,$67-56-1$,$$,$67-56-1$,$$,$67-56-1$,$d:2021-10-07$,$$,$$
$000067-56-1$,$methanol (methyl alcohol)$,$cleaned$,$no_match$,$CAS_only$,$67-56-1$,$67-56-1$,$$,$non_spec$,$unk$,$67-56-1$,$d:2021-10-07$,$$,$$
$000067-56-1$,$methyl alcohol$,$cleaned$,$perfect$,$both$,$67-56-1$,$67-56-1$,$$,$67-56-1$,$['64-17-5']$,$67-56-1$,$d:2021-10-07$,$$,$$
$000067-56-1 009016-45-9$,$methanol nonyl phenyl polyethylene glycol ether$,$ambiguousID$,$no_match$,$neither$,$$,$multiple chem$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$000067-56-1/007664-41- 7$,$methanol/aqueous ammonia$,$ambiguousID$,$no_match$,$neither$,$$,$multiple chem$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$000067-63-0$,$isopropanol$,$cleaned$,$perfect$,$both$,$67-63-0$,$67-63-0$,$$,$67-63-0$,$$,$67-63-0$,$d:2021-10-07$,$$,$$
$000067-63-0$,$isopropanol (isopropyl alcohol, propan-2-ol)$,$cleaned$,$no_match$,$CAS_only$,$67-63-0$,$67-63-0$,$$,$non_spec$,$unk$,$67-63-0$,$d:2021-10-07$,$$,$$
$000067-63-0$,$propan-2-ol$,$cleaned$,$perfect$,$both$,$67-63-0$,$67-63-0$,$$,$67-63-0$,$$,$67-63-0$,$d:2021-10-07$,$$,$$
$000068-11-1$,$thioglycolic acid$,$cleaned$,$perfect$,$both$,$68-11-1$,$68-11-1$,$$,$68-11-1$,$$,$68-11-1$,$d:2021-10-07$,$$,$$
$000068-12-2$,$dimethyl formamide$,$cleaned$,$perfect$,$both$,$68-12-2$,$68-12-2$,$$,$68-12-2$,$$,$68-12-2$,$d:2021-10-07$,$$,$$
$000071-23-8$,$n-propanol$,$cleaned$,$perfect$,$both$,$71-23-8$,$71-23-8$,$$,$71-23-8$,$$,$71-23-8$,$d:2021-10-07$,$$,$$
$000071-48-7$,$cobalt acetate$,$cleaned$,$perfect$,$both$,$71-48-7$,$71-48-7$,$$,$71-48-7$,$$,$71-48-7$,$d:2021-10-07$,$$,$$
$000075-07-0$,$acetylenic$,$cleaned$,$no_match$,$CAS_only$,$75-07-0$,$75-07-0$,$$,$non_spec$,$unk$,$75-07-0$,$d:2021-10-07$,$$,$$
$000075-12-7$,$formamide$,$cleaned$,$perfect$,$both$,$75-12-7$,$75-12-7$,$$,$75-12-7$,$$,$75-12-7$,$d:2021-10-07$,$$,$$
$000075-25-8$,$oxirane$,$corrected$,$perfect$,$both$,$$,$75-21-8$,$$,$75-21-8$,$$,$75-21-8$,$d:2021-10-07$,$$,$$
$000075-50-3$,$trimethylamine$,$cleaned$,$perfect$,$both$,$75-50-3$,$75-50-3$,$$,$75-50-3$,$$,$75-50-3$,$d:2021-10-07$,$$,$$
$000075-57-0$,$tetramethyl ammonium chloride$,$cleaned$,$close_match$,$both$,$75-57-0$,$75-57-0$,$$,$75-57-0$,$$,$75-57-0$,$d:2021-10-07$,$$,$$
$000075-91-2$,$tertiary butyl hydroperoxide (organic hydroperoxide)$,$cleaned$,$no_match$,$CAS_only$,$75-91-2$,$75-91-2$,$$,$non_spec$,$unk$,$75-91-2$,$d:2021-10-07$,$$,$$
$000077-92-9$,$citric acid$,$cleaned$,$perfect$,$both$,$77-92-9$,$77-92-9$,$$,$77-92-9$,$$,$77-92-9$,$d:2021-10-07$,$$,$$
$000078-40-0$,$triethyl phosphate$,$cleaned$,$perfect$,$both$,$78-40-0$,$78-40-0$,$$,$78-40-0$,$['512-56-1']$,$78-40-0$,$d:2021-10-07$,$$,$$
$000079-06-1$,$2-propenamid$,$cleaned$,$close_match$,$both$,$79-06-1$,$79-06-1$,$$,$79-06-1$,$$,$79-06-1$,$d:2021-10-07$,$$,$$
$000079-06-1$,$acrylamide$,$cleaned$,$perfect$,$both$,$79-06-1$,$79-06-1$,$$,$79-06-1$,$$,$79-06-1$,$d:2021-10-07$,$$,$$
$000079-21-0$,$paracetic acid$,$cleaned$,$no_match$,$CAS_only$,$79-21-0$,$79-21-0$,$$,$non_spec$,$unk$,$79-21-0$,$d:2021-10-07$,$$,$$
$000079-21-0$,$peracetic acid$,$cleaned$,$perfect$,$both$,$79-21-0$,$79-21-0$,$$,$79-21-0$,$$,$79-21-0$,$d:2021-10-07$,$$,$$
$000085-44-9$,$phthalic anhydride$,$cleaned$,$perfect$,$both$,$85-44-9$,$85-44-9$,$$,$85-44-9$,$$,$85-44-9$,$d:2021-10-07$,$$,$$
$000088-99-3$,$phthalic acid$,$cleaned$,$perfect$,$both$,$88-99-3$,$88-99-3$,$$,$88-99-3$,$$,$88-99-3$,$d:2021-10-07$,$$,$$
$000089-65-6$,$erythorbic acid, anhydrous$,$cleaned$,$no_match$,$CAS_only$,$89-65-6$,$89-65-6$,$$,$non_spec$,$unk$,$89-65-6$,$d:2021-10-07$,$$,$$
$000091-20-3$,$naphthalene$,$cleaned$,$perfect$,$both$,$91-20-3$,$91-20-3$,$$,$91-20-3$,$$,$91-20-3$,$d:2021-10-07$,$$,$$
$000093-36-6$,$1,2,4-trimethylbenzene$,$corrected$,$perfect$,$both$,$$,$95-63-6$,$$,$95-63-6$,$$,$95-63-6$,$d:2021-10-07$,$$,$$
$000095-63-6$,$1,2,4 trimethylbenzene$,$cleaned$,$close_match$,$both$,$95-63-6$,$95-63-6$,$$,$95-63-6$,$$,$95-63-6$,$d:2021-10-07$,$$,$$
$000100-44-7$,$benzyl chloride$,$cleaned$,$perfect$,$both$,$100-44-7$,$100-44-7$,$$,$100-44-7$,$$,$100-44-7$,$d:2021-10-07$,$$,$$
$000100-44-7$,$chloromethylbenzene$,$cleaned$,$conflicting_matches$,$CAS_only$,$100-44-7$,$100-44-7$,$$,$non_spec$,$['100-44-7', '98-07-7']$,$100-44-7$,$d:2021-10-07$,$$,$$
$000100-97-0$,$hexamethylenetetramine (hexamine)$,$cleaned$,$no_match$,$CAS_only$,$100-97-0$,$100-97-0$,$$,$non_spec$,$unk$,$100-97-0$,$d:2021-10-07$,$$,$$
$000101-71-6$,$triehanolamine$,$corrected$,$close_match$,$both$,$$,$102-71-6$,$$,$102-71-6$,$$,$102-71-6$,$d:2021-10-07$,$$,$$
$000102-71-6$,$triethanolamine$,$cleaned$,$perfect$,$both$,$102-71-6$,$102-71-6$,$$,$102-71-6$,$$,$102-71-6$,$d:2021-10-07$,$$,$$
$000104-40-5$,$4-nonylphenol$,$cleaned$,$perfect$,$both$,$104-40-5$,$104-40-5$,$$,$104-40-5$,$$,$104-40-5$,$d:2021-10-07$,$$,$$
$000104-55-2$,$cinnamaldehyde$,$cleaned$,$perfect$,$both$,$104-55-2$,$104-55-2$,$$,$104-55-2$,$$,$104-55-2$,$d:2021-10-07$,$$,$$
$000104-76-7$,$2-ethylhexan-1-ol$,$cleaned$,$perfect$,$both$,$104-76-7$,$104-76-7$,$$,$104-76-7$,$$,$104-76-7$,$d:2021-10-07$,$$,$$
$000104-76-7$,$2-ethylhexanol$,$cleaned$,$perfect$,$both$,$104-76-7$,$104-76-7$,$$,$104-76-7$,$$,$104-76-7$,$d:2021-10-07$,$$,$$
$000106-24-7$,$acetic anhydride$,$corrected$,$perfect$,$both$,$$,$108-24-7$,$$,$108-24-7$,$$,$108-24-7$,$d:2021-10-07$,$$,$$
$000107-19-7$,$propargyl alcohol$,$cleaned$,$perfect$,$both$,$107-19-7$,$107-19-7$,$$,$107-19-7$,$$,$107-19-7$,$d:2021-10-07$,$$,$$
$000107-19-7$,$propargyl alcohol (2-propynol)$,$cleaned$,$no_match$,$CAS_only$,$107-19-7$,$107-19-7$,$$,$non_spec$,$unk$,$107-19-7$,$d:2021-10-07$,$$,$$
$000107-21-1$,$ehtylene glycol$,$cleaned$,$no_match$,$CAS_only$,$107-21-1$,$107-21-1$,$$,$non_spec$,$unk$,$107-21-1$,$d:2021-10-07$,$$,$$
$000107-21-1$,$ethane-1,2-diol$,$cleaned$,$perfect$,$both$,$107-21-1$,$107-21-1$,$$,$107-21-1$,$$,$107-21-1$,$d:2021-10-07$,$$,$$
$000107-21-1$,$ethylene glycol$,$cleaned$,$perfect$,$both$,$107-21-1$,$107-21-1$,$$,$107-21-1$,$['50-00-0']$,$107-21-1$,$d:2021-10-07$,$$,$$
$000107-21-1$,$ethylene glyucol$,$cleaned$,$conflicting_matches$,$CAS_only$,$107-21-1$,$107-21-1$,$$,$non_spec$,$['107-21-1', '50-00-0']$,$107-21-1$,$d:2021-10-07$,$$,$$
$000107-21-1$,$ethyleneglycol$,$cleaned$,$perfect$,$both$,$107-21-1$,$107-21-1$,$$,$107-21-1$,$$,$107-21-1$,$d:2021-10-07$,$$,$$
$000108-01-0$,$dimethylaminoethanol$,$cleaned$,$perfect$,$both$,$108-01-0$,$108-01-0$,$$,$108-01-0$,$$,$108-01-0$,$d:2021-10-07$,$$,$$
$000108-24-7$,$acetic anhydride$,$cleaned$,$perfect$,$both$,$108-24-7$,$108-24-7$,$$,$108-24-7$,$$,$108-24-7$,$d:2021-10-07$,$$,$$
$000108-32-7$,$propylene carbonate$,$cleaned$,$perfect$,$both$,$108-32-7$,$108-32-7$,$$,$108-32-7$,$$,$108-32-7$,$d:2021-10-07$,$$,$$
$000109-55-7$,$1,3-propanediamine, n,n-dimethyl-$,$cleaned$,$perfect$,$both$,$109-55-7$,$109-55-7$,$$,$109-55-7$,$$,$109-55-7$,$d:2021-10-07$,$$,$$
$000110-54-3$,$hexanes$,$cleaned$,$perfect$,$CAS_only$,$110-54-3$,$110-54-3$,$$,$non_spec$,$$,$110-54-3$,$d:2021-10-07$,$$,$$
$000111-30-8$,$glutaraldehyde$,$cleaned$,$perfect$,$both$,$111-30-8$,$111-30-8$,$$,$111-30-8$,$$,$111-30-8$,$d:2021-10-07$,$$,$$
$000111-30-8$,$glutaraldehyde (pentanediol)$,$cleaned$,$no_match$,$CAS_only$,$111-30-8$,$111-30-8$,$$,$non_spec$,$unk$,$111-30-8$,$d:2021-10-07$,$$,$$
$000111-40-0$,$diethylenetriamine$,$cleaned$,$perfect$,$both$,$111-40-0$,$111-40-0$,$$,$111-40-0$,$$,$111-40-0$,$d:2021-10-07$,$$,$$
$000111-42-2$,$diethanolamine$,$cleaned$,$perfect$,$both$,$111-42-2$,$111-42-2$,$$,$111-42-2$,$$,$111-42-2$,$d:2021-10-07$,$$,$$
$000111-46-6$,$diethylene glycol$,$cleaned$,$perfect$,$both$,$111-46-6$,$111-46-6$,$$,$111-46-6$,$$,$111-46-6$,$d:2021-10-07$,$$,$$
$000111-76-2$,$2-butoxyethanol$,$cleaned$,$perfect$,$both$,$111-76-2$,$111-76-2$,$$,$111-76-2$,$$,$111-76-2$,$d:2021-10-07$,$$,$$
$000111-76-2$,$2-butoxyethanol (ethylene glycol$,$cleaned$,$no_match$,$CAS_only$,$111-76-2$,$111-76-2$,$$,$non_spec$,$unk$,$111-76-2$,$d:2021-10-07$,$$,$$
$000111-76-2$,$2-butoxyethanol (ethylene glycol monobutyl ether)$,$cleaned$,$perfect$,$both$,$111-76-2$,$111-76-2$,$$,$111-76-2$,$$,$111-76-2$,$d:2021-10-07$,$$,$$
$000111-76-2$,$surfactants$,$cleaned$,$perfect$,$CAS_only$,$111-76-2$,$111-76-2$,$$,$non_spec$,$$,$111-76-2$,$d:2021-10-07$,$$,$$
$000111-77-3$,$diethylene glycol monomethyl ether$,$cleaned$,$perfect$,$both$,$111-77-3$,$111-77-3$,$$,$111-77-3$,$['111-90-0']$,$111-77-3$,$d:2021-10-07$,$$,$$
$000111-87-5$,$octanol$,$cleaned$,$perfect$,$both$,$111-87-5$,$111-87-5$,$$,$111-87-5$,$$,$111-87-5$,$d:2021-10-07$,$$,$$
$000112-30-1$,$decanol$,$cleaned$,$perfect$,$both$,$112-30-1$,$112-30-1$,$$,$112-30-1$,$$,$112-30-1$,$d:2021-10-07$,$$,$$
$000112-40-3$,$c-11 to c-14 n-alkanes$,$cleaned$,$no_match$,$CAS_only$,$112-40-3$,$112-40-3$,$$,$non_spec$,$unk$,$112-40-3$,$d:2021-10-07$,$$,$$
$000112-80-1$,$oleic acid$,$cleaned$,$perfect$,$both$,$112-80-1$,$112-80-1$,$$,$112-80-1$,$$,$112-80-1$,$d:2021-10-07$,$$,$$
$000122-18-9$,$quaternary ammonium compound$,$cleaned$,$perfect$,$CAS_only$,$122-18-9$,$122-18-9$,$$,$non_spec$,$$,$122-18-9$,$d:2021-10-07$,$$,$$
$000122-20-3$,$triisopropanolamine$,$cleaned$,$perfect$,$both$,$122-20-3$,$122-20-3$,$$,$122-20-3$,$$,$122-20-3$,$d:2021-10-07$,$$,$$
$000124-04-9$,$adipic acid$,$cleaned$,$perfect$,$both$,$124-04-9$,$124-04-9$,$$,$124-04-9$,$$,$124-04-9$,$d:2021-10-07$,$$,$$
$000124-18-5$,$decane$,$cleaned$,$perfect$,$both$,$124-18-5$,$124-18-5$,$$,$124-18-5$,$$,$124-18-5$,$d:2021-10-07$,$$,$$
$000127-08-2$,$acetic acid, potassium salt$,$cleaned$,$perfect$,$both$,$127-08-2$,$127-08-2$,$$,$127-08-2$,$$,$127-08-2$,$d:2021-10-07$,$$,$$
$000127-09-3$,$sodium acetate$,$cleaned$,$perfect$,$both$,$127-09-3$,$127-09-3$,$$,$127-09-3$,$$,$127-09-3$,$d:2021-10-07$,$$,$$
$0001302-78-9$,$bentonite$,$cleaned$,$perfect$,$both$,$1302-78-9$,$1302-78-9$,$$,$1302-78-9$,$$,$1302-78-9$,$d:2021-10-07$,$$,$$
$0001310-73-2$,$soadium hydroxide$,$cleaned$,$close_match$,$both$,$1310-73-2$,$1310-73-2$,$$,$1310-73-2$,$$,$1310-73-2$,$d:2021-10-07$,$$,$$
$0001310-73-2$,$sodium hydroxide$,$cleaned$,$perfect$,$both$,$1310-73-2$,$1310-73-2$,$$,$1310-73-2$,$$,$1310-73-2$,$d:2021-10-07$,$$,$$
$000139-07-1$,$quaternary ammonium compound$,$cleaned$,$perfect$,$CAS_only$,$139-07-1$,$139-07-1$,$$,$non_spec$,$$,$139-07-1$,$d:2021-10-07$,$$,$$
$000139-08-2$,$dimethyl benzyl ammonium chloride$,$cleaned$,$no_match$,$CAS_only$,$139-08-2$,$139-08-2$,$$,$non_spec$,$unk$,$139-08-2$,$d:2021-10-07$,$$,$$
$000139-08-2$,$quaternary ammonium compound$,$cleaned$,$perfect$,$CAS_only$,$139-08-2$,$139-08-2$,$$,$non_spec$,$$,$139-08-2$,$d:2021-10-07$,$$,$$
$000141-43-5$,$ethanolamine$,$cleaned$,$perfect$,$both$,$141-43-5$,$141-43-5$,$$,$141-43-5$,$$,$141-43-5$,$d:2021-10-07$,$$,$$
$000141-53-7$,$sodium formate$,$cleaned$,$perfect$,$both$,$141-53-7$,$141-53-7$,$$,$141-53-7$,$$,$141-53-7$,$d:2021-10-07$,$$,$$
$000143-18-0$,$potassium oleate$,$cleaned$,$perfect$,$both$,$143-18-0$,$143-18-0$,$$,$143-18-0$,$$,$143-18-0$,$d:2021-10-07$,$$,$$
$000144-55-8$,$sodium hydrogen carbonate$,$cleaned$,$perfect$,$both$,$144-55-8$,$144-55-8$,$$,$144-55-8$,$$,$144-55-8$,$d:2021-10-07$,$$,$$
$000151-21-3$,$laurel sulfate$,$cleaned$,$no_match$,$CAS_only$,$151-21-3$,$151-21-3$,$$,$non_spec$,$unk$,$151-21-3$,$d:2021-10-07$,$$,$$
$000151-21-3$,$lauryl sulfate$,$cleaned$,$no_match$,$CAS_only$,$151-21-3$,$151-21-3$,$$,$non_spec$,$unk$,$151-21-3$,$d:2021-10-07$,$$,$$
$000497-19-8$,$sodium carbonate (sodium carbonate monohydrate, soda ash)$,$cleaned$,$no_match$,$CAS_only$,$497-19-8$,$497-19-8$,$$,$non_spec$,$unk$,$497-19-8$,$d:2021-10-07$,$$,$$
$000533-74-4$,$dazomet$,$cleaned$,$perfect$,$both$,$533-74-4$,$533-74-4$,$$,$533-74-4$,$$,$533-74-4$,$d:2021-10-07$,$$,$$
$000540-72-7$,$sodium sulfocyanate$,$cleaned$,$perfect$,$both$,$540-72-7$,$540-72-7$,$$,$540-72-7$,$$,$540-72-7$,$d:2021-10-07$,$$,$$
$000544-76-3$,$hexadecane$,$cleaned$,$perfect$,$both$,$544-76-3$,$544-76-3$,$$,$544-76-3$,$$,$544-76-3$,$d:2021-10-07$,$$,$$
$000577-11-7$,$dioctyl sulfosuccinate sodium salt$,$cleaned$,$perfect$,$both$,$577-11-7$,$577-11-7$,$$,$577-11-7$,$$,$577-11-7$,$d:2021-10-07$,$$,$$
$000584-08-7$,$potassium carbonate$,$cleaned$,$perfect$,$both$,$584-08-7$,$584-08-7$,$$,$584-08-7$,$['298-14-6']$,$584-08-7$,$d:2021-10-07$,$$,$$
$000590-29-4$,$potassium formate$,$cleaned$,$perfect$,$both$,$590-29-4$,$590-29-4$,$$,$590-29-4$,$$,$590-29-4$,$d:2021-10-07$,$$,$$
$000593-81-7$,$trimethylamine hydrochloride$,$cleaned$,$perfect$,$both$,$593-81-7$,$593-81-7$,$$,$593-81-7$,$$,$593-81-7$,$d:2021-10-07$,$$,$$
$000629-50-5$,$c-11 to c-14 n-alkanes$,$cleaned$,$no_match$,$CAS_only$,$629-50-5$,$629-50-5$,$$,$non_spec$,$unk$,$629-50-5$,$d:2021-10-07$,$$,$$
$000629-59-4$,$c-11 to c-14 n-alkanes$,$cleaned$,$no_match$,$CAS_only$,$629-59-4$,$629-59-4$,$$,$non_spec$,$unk$,$629-59-4$,$d:2021-10-07$,$$,$$
