$rawName$,$cleanName$,$xlateName$,$status$,$first_date$,$change_date$,$change_comment$
$20016$,$20016$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$2015 Oil, LLC$,$2015 oil, llc$,$2015 oil$,$curated$,$d:2021-07-04$,$$,$$
$216378$,$216378$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$24-7 Sands$,$24-7 sands$,$24-7 sands$,$curated$,$d:2021-09-12$,$$,$$
$25% Mo-Vac Yard 25%BTLT Well 50% Oxy Facility$,$25% mo-vac yard 25%btlt well 50% oxy facility$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$267818$,$267818$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$280571$,$280571$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$28734$,$28734$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$3$,$3$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$3-M Energy Corporation$,$3-m energy corporation$,$3-m energy corporation$,$curated$,$d:2021-07-04$,$$,$$
$302$,$302$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$370457$,$370457$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$3Chem$,$3chem$,$3chem$,$curated$,$d:2021-07-04$,$$,$$
$3G Energy Services$,$3g energy services$,$3g energy services$,$curated$,$d:2021-07-04$,$$,$$
$3chem, LLC$,$3chem, llc$,$3chem$,$curated$,$d:2021-07-04$,$$,$$
$3rd Party$,$3rd party$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd Party (Linde)$,$3rd party (linde)$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd Party Delievered$,$3rd party delievered$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd Party Delivered$,$3rd party delivered$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd Party Vendor$,$3rd party vendor$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd Party thru Chisolm O & G$,$3rd party thru chisolm o & g$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd party$,$3rd party$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd. Party$,$3rd. party$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$3rd. party$,$3rd. party$,$third party$,$curated$,$d:2021-07-04$,$$,$$
$40 McAllen Central 60 Nabors$,$40 mcallen central 60 nabors$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$42% Transfer from 158  18% City Water 18% BTLT Pond 22% Mcallen Central$,$42% transfer from 158  18% city water 18% btlt pond 22% mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$45% Mission City Water and 55% Neighbors$,$45% mission city water and 55% neighbors$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$5-chloro-2-m ethyl-4-isothi anzolian-3-o ne$,$5-chloro-2-m ethyl-4-isothi anzolian-3-o ne$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$50 McAllen Central 50 City Water$,$50 mcallen central 50 city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50 McAllen Central and 50 McAllen City Water$,$50 mcallen central and 50 mcallen city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$50 Mcallen Central Well Water 50 Mcallen Municiple$,$50 mcallen central well water 50 mcallen municiple$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
