$non_specific_code$,$source$
$complex alkylaryl polyo-ester$,$EPA_Appendix_H_2$
$complex aluminum salt$,$EPA_Appendix_H_2$
$complex carbohydrate$,$EPA_Appendix_H_2$
$complex organometallic salt$,$EPA_Appendix_H_2$
$complex polyamine salt$,$EPA_Appendix_H_2$
$complex substituted keto-amine$,$EPA_Appendix_H_2$
$complex substituted keto-amine hydrochloride$,$EPA_Appendix_H_2$
$copper compounds$,$EPA_Appendix_H_2$
$coric oxide$,$EPA_Appendix_H_2$
$cotton dust (raw)$,$EPA_Appendix_H_2$
$cottonseed hulls$,$EPA_Appendix_H_2$
$cured acrylic resin$,$EPA_Appendix_H_2$
$cured resin$,$EPA_Appendix_H_2$
$cured urethane resin$,$EPA_Appendix_H_2$
$cyclic alkanes$,$EPA_Appendix_H_2$
$defoamer$,$EPA_Appendix_H_2$
$dibasic ester$,$EPA_Appendix_H_2$
$dicarboxylic acid$,$EPA_Appendix_H_2$
$diesel$,$EPA_Appendix_H_2$
$dimethyl silicone$,$EPA_Appendix_H_2$
$dispersing agent$,$EPA_Appendix_H_2$
$emulsifier$,$EPA_Appendix_H_2$
$enzyme$,$EPA_Appendix_H_2$
$epoxy$,$EPA_Appendix_H_2$
$epoxy resin$,$EPA_Appendix_H_2$
$essential oils$,$EPA_Appendix_H_2$
$ester salt$,$EPA_Appendix_H_2$
$esters$,$EPA_Appendix_H_2$
$ether compound$,$EPA_Appendix_H_2$
$ether salt$,$EPA_Appendix_H_2$
$ethoxylated alcohol blend$,$EPA_Appendix_H_2$
$ethoxylated alcohol/ester mixture$,$EPA_Appendix_H_2$
$ethoxylated alcohols$,$EPA_Appendix_H_2$
$ethoxylated alkyl amines$,$EPA_Appendix_H_2$
$ethoxylated amine blend$,$EPA_Appendix_H_2$
$ethoxylated amines$,$EPA_Appendix_H_2$
$ethoxylated fatty acid$,$EPA_Appendix_H_2$
$ethoxylated fatty acid ester$,$EPA_Appendix_H_2$
$ethoxylated nonionic surfactant$,$EPA_Appendix_H_2$
$ethoxylated nonylphenol$,$EPA_Appendix_H_2$
$ethoxylated sorbitol esters$,$EPA_Appendix_H_2$
$ethylene oxide-nonylphenol polymer$,$EPA_Appendix_H_2$
$fatty acid amine salt mixture$,$EPA_Appendix_H_2$
$fatty acid ester$,$EPA_Appendix_H_2$
$fatty acid tall oil$,$EPA_Appendix_H_2$
$fatty acid, ethoxylate$,$EPA_Appendix_H_2$
$fatty acids$,$EPA_Appendix_H_2$
$fatty alcohol alkoxylate$,$EPA_Appendix_H_2$
$fatty alkyl amine salt$,$EPA_Appendix_H_2$
$fatty amine carboxylates$,$EPA_Appendix_H_2$
$fatty imidazoline$,$EPA_Appendix_H_2$
$fluoroaliphatic polymeric esters$,$EPA_Appendix_H_2$
$formaldehyde polymer$,$EPA_Appendix_H_2$
$glass fiber$,$EPA_Appendix_H_2$
$glyceride esters$,$EPA_Appendix_H_2$
$glycol$,$EPA_Appendix_H_2$
$glycol blend$,$EPA_Appendix_H_2$
$glycol ethers$,$EPA_Appendix_H_2$
$ground cedar$,$EPA_Appendix_H_2$
$ground paper$,$EPA_Appendix_H_2$
$guar derivative$,$EPA_Appendix_H_2$
$guar gum$,$EPA_Appendix_H_2$
$haloalkyl heteropolycycle salt$,$EPA_Appendix_H_2$
$hexanes$,$EPA_Appendix_H_2$
$high molecular weight polymer$,$EPA_Appendix_H_2$
$high ph conventional enzymes$,$EPA_Appendix_H_2$
$hydrocarbons$,$EPA_Appendix_H_2$
$hydrogen solvent$,$EPA_Appendix_H_2$
$hydrotreated and hydrocracked base oil$,$EPA_Appendix_H_2$
$hydrotreated distillate, light c9-$,$EPA_Appendix_H_2$
$hydrotreated heavy naphthalene 5$,$EPA_Appendix_H_2$
$hydrotreated light distillate$,$EPA_Appendix_H_2$
$hydrotreated light petroleum distillate$,$EPA_Appendix_H_2$
$hydroxyalkyl imino carboxylic sodium salt$,$EPA_Appendix_H_2$
$hydroxycellulose$,$EPA_Appendix_H_2$
$hydroxyethyl cellulose$,$EPA_Appendix_H_2$
$imidazolium compound$,$EPA_Appendix_H_2$
$inorganic borate$,$EPA_Appendix_H_2$
$inorganic chemical$,$EPA_Appendix_H_2$
$inorganic particulate$,$EPA_Appendix_H_2$
$inorganic salt$,$EPA_Appendix_H_2$
$iso-alkanes/n-alkanes$,$EPA_Appendix_H_2$
$isomeric aromatic ammonium salt$,$EPA_Appendix_H_2$
$latex$,$EPA_Appendix_H_2$
$lead compounds$,$EPA_Appendix_H_2$
$low toxicity base oils$,$EPA_Appendix_H_2$
$lubra-beads course$,$EPA_Appendix_H_2$
$maghemite$,$EPA_Appendix_H_2$
$magnetite$,$EPA_Appendix_H_2$
$metal salt$,$EPA_Appendix_H_2$
$metal salt solution$,$EPA_Appendix_H_2$
$mineral$,$EPA_Appendix_H_2$
$mineral fiber$,$EPA_Appendix_H_2$
$mineral filler$,$EPA_Appendix_H_2$
$mineral oil$,$EPA_Appendix_H_2$
$mixed titanium ortho ester complexes$,$EPA_Appendix_H_2$
$modified acrylamide copolymer$,$EPA_Appendix_H_2$
$modified acrylate polymer$,$EPA_Appendix_H_2$
$modified alkane$,$EPA_Appendix_H_2$
$modified bentonite$,$EPA_Appendix_H_2$
$modified cycloaliphatic amine adduct$,$EPA_Appendix_H_2$
$modified lignosulfonate$,$EPA_Appendix_H_2$
$n-tallowalkyltrimethylenediamines$,$EPA_Appendix_H_2$
$naphthalene derivatives$,$EPA_Appendix_H_2$
$neutralized alkylated napthalene sulfonate$,$EPA_Appendix_H_2$
$nickel chelate catalyst$,$EPA_Appendix_H_2$
$nonionic surfactant$,$EPA_Appendix_H_2$
$nuisance particulates$,$EPA_Appendix_H_2$
$nylon$,$EPA_Appendix_H_2$
$olefinic sulfonate$,$EPA_Appendix_H_2$
$olefins$,$EPA_Appendix_H_2$
$organic acid salt$,$EPA_Appendix_H_2$
$organic acids$,$EPA_Appendix_H_2$
$organic alkyl amines$,$EPA_Appendix_H_2$
$organic chloride$,$EPA_Appendix_H_2$
$organic modified bentonite clay$,$EPA_Appendix_H_2$
$organic phosphonate$,$EPA_Appendix_H_2$
$organic phosphonate salts$,$EPA_Appendix_H_2$
$organic phosphonic acid salts$,$EPA_Appendix_H_2$
$organic polymer$,$EPA_Appendix_H_2$
$organic polyol$,$EPA_Appendix_H_2$
$organic salt$,$EPA_Appendix_H_2$
$organic sulfur compound$,$EPA_Appendix_H_2$
$organic surfactants$,$EPA_Appendix_H_2$
$organic titanate$,$EPA_Appendix_H_2$
$organo amino silane$,$EPA_Appendix_H_2$
$organo phosphonic acid$,$EPA_Appendix_H_2$
$organo phosphonic acid salt$,$EPA_Appendix_H_2$
$organometallic ammonium complex$,$EPA_Appendix_H_2$
$organophilic clay$,$EPA_Appendix_H_2$
$oxidized tall oil$,$EPA_Appendix_H_2$
$oxoaliphatic acid$,$EPA_Appendix_H_2$
$oxyalkylated alcohol$,$EPA_Appendix_H_2$
$oxyalkylated alkyl alcohol$,$EPA_Appendix_H_2$
$oxyalkylated alkylphenol$,$EPA_Appendix_H_2$
$oxyalkylated fatty acid$,$EPA_Appendix_H_2$
$oxyalkylated fatty alcohol salt$,$EPA_Appendix_H_2$
$oxyalkylated phenol$,$EPA_Appendix_H_2$
$oxyalkylated phenolic resin$,$EPA_Appendix_H_2$
$oxyalkylated polyamine$,$EPA_Appendix_H_2$
$oxyalkylated tallow diamine$,$EPA_Appendix_H_2$
$oxyethylated alcohol$,$EPA_Appendix_H_2$
$oxylated alcohol$,$EPA_Appendix_H_2$
$p/f resin$,$EPA_Appendix_H_2$
$paraffin inhibitor$,$EPA_Appendix_H_2$
$paraffinic naphthenic solvent$,$EPA_Appendix_H_2$
$paraffinic solvent$,$EPA_Appendix_H_2$
$paraffins$,$EPA_Appendix_H_2$
$pecan shell$,$EPA_Appendix_H_2$
$petroleum distallate blend$,$EPA_Appendix_H_2$
$petroleum gas oils$,$EPA_Appendix_H_2$
$petroleum hydrocarbons$,$EPA_Appendix_H_2$
$petroleum solvent$,$EPA_Appendix_H_2$
$phosphate ester$,$EPA_Appendix_H_2$
$phosphonate$,$EPA_Appendix_H_2$
$phosphonic acid$,$EPA_Appendix_H_2$
$phosphoric acid, mixed polyoxyalkylene aryl and alkyl esters$,$EPA_Appendix_H_2$
$plasticizer$,$EPA_Appendix_H_2$
$polyacrylamide copolymer$,$EPA_Appendix_H_2$
$polyacrylamides$,$EPA_Appendix_H_2$
$polyacrylate$,$EPA_Appendix_H_2$
$polyactide resin$,$EPA_Appendix_H_2$
$polyalkylene esters$,$EPA_Appendix_H_2$
$polyaminated fatty acid$,$EPA_Appendix_H_2$
$polyaminated fatty acid surfactants$,$EPA_Appendix_H_2$
$polyamine$,$EPA_Appendix_H_2$
$polyamine polymer$,$EPA_Appendix_H_2$
